Date,Price,Open,High,Low,Vol.,Change %
12/29/16,"1,012.10","1,016.12","1,024.12","1,011.38",-,-0.42%
12/28/16,"1,016.40","1,023.88","1,028.40","1,011.38",-,-0.70%
12/27/16,"1,023.60",998.62,"1,024.62",998.38,-,3.41%
12/23/16,989.88,995.75,996.88,987.88,-,-0.48%
12/22/16,994.62,"1,007.75","1,008.25",993.62,-,-1.12%
12/21/16,"1,005.88","1,006.88","1,012.12","1,005.12",-,0.04%
12/20/16,"1,005.50","1,023.12","1,023.88","1,004.12",-,-1.65%
12/19/16,"1,022.38","1,031.88","1,038.75","1,020.62",-,-1.26%
12/16/16,"1,035.38","1,029.75","1,037.38","1,023.12",-,0.66%
12/15/16,"1,028.62","1,023.88","1,037.88","1,018.38",-,0.51%
12/14/16,"1,023.38","1,027.38","1,029.12","1,020.88",-,-0.41%
12/13/16,"1,027.62","1,031.38","1,038.62","1,025.62",-,-0.30%
12/12/16,"1,030.75","1,040.75","1,047.38","1,026.62",-,-0.53%
12/9/16,"1,036.25","1,025.62","1,038.62","1,021.38",-,0.84%
12/8/16,"1,027.62","1,047.38","1,047.88","1,023.62",-,-2.00%
12/7/16,"1,048.62","1,047.88","1,052.88","1,040.12",-,0.10%
12/6/16,"1,047.62","1,043.12","1,061.38","1,039.38",-,0.35%
12/5/16,"1,044.00","1,030.12","1,049.62","1,027.88",-,1.20%
12/2/16,"1,031.62","1,033.62","1,037.50","1,026.62",-,0.21%
12/1/16,"1,029.50","1,034.88","1,039.88","1,022.38",-,-0.41%
11/30/16,"1,033.75","1,044.12","1,052.62","1,031.62",-,-0.78%
11/29/16,"1,041.88","1,053.62","1,058.62","1,039.38",-,-1.36%
11/28/16,"1,056.25","1,044.38","1,064.88","1,042.88",-,1.04%
11/25/16,"1,045.38","1,032.62","1,046.50","1,030.00",-,1.04%
11/23/16,"1,034.62","1,029.25","1,035.62","1,017.38",-,0.51%
11/22/16,"1,029.38","1,020.38","1,033.12","1,016.50",-,1.02%
11/21/16,"1,019.00",997.75,"1,019.75",997.62,-,2.61%
11/18/16,993.12,988.25,996.62,982.38,-,0.30%
11/17/16,990.12,986.88,993.62,981.12,-,0.48%
11/16/16,985.38,994.12,997.62,982.88,-,-0.35%
11/15/16,988.88,987,989.88,978.62,-,0.50%
11/14/16,984,988.12,989.38,975.62,-,-0.28%
11/11/16,986.75,"1,005.62","1,017.88",977.12,-,-1.04%
11/10/16,997.12,992.38,"1,018.88",989.12,-,0.66%
11/9/16,990.62,"1,009.50","1,017.38",984.38,-,-2.12%
11/8/16,"1,012.12",999.12,"1,020.38",997.12,-,1.35%
11/7/16,998.62,991.5,"1,001.62",990.12,-,0.83%
11/4/16,990.38,989.75,994.62,984.12,-,0.08%
11/3/16,989.62,986.12,993.88,985.62,-,0.34%
11/2/16,986.25,991.88,995.38,983.38,-,-0.69%
11/1/16,993.12,"1,011.75","1,015.88",991.75,-,-1.85%
10/31/16,"1,011.88","1,013.62","1,018.12","1,006.50",-,1.02%
10/28/16,"1,001.62","1,012.75","1,017.38","1,000.62",-,-1.23%
10/27/16,"1,014.12","1,008.25","1,019.88","1,002.75",-,0.50%
10/26/16,"1,009.12",989.88,"1,010.88",989.5,-,1.84%
10/25/16,990.88,990.25,996.88,981.38,-,-0.15%
10/24/16,992.38,981.88,999.62,979.88,-,1.10%
10/21/16,981.62,977.38,983.88,974.5,-,0.61%
10/20/16,975.62,980.5,989.62,973.5,-,-0.51%
10/19/16,980.62,971.62,981.62,971.12,-,0.87%
10/18/16,972.12,977.38,986.88,971.62,-,-0.51%
10/17/16,977.12,961.62,978.5,961.25,-,1.61%
10/14/16,961.62,955.12,974.12,952.12,-,0.56%
10/13/16,956.25,946,959.38,937.38,-,1.12%
10/12/16,945.62,952.75,971.12,943.38,-,-0.94%
10/11/16,954.62,953.38,960.62,951.88,-,-0.03%
